"send_country","post_city","post_country","post_type","post_title"
"Argentina","Asuncion","Paraguay","Consulate / Consulate-General","Consulate"
"Argentina","Ciudad del Este","Paraguay","Consulate / Consulate-General","Consulate-General"
"Argentina","Encarnacion","Paraguay","Consulate / Consulate-General","Consulate-General"
"Argentina","Lima","Peru","Consulate / Consulate-General","Consulate-General"
"Argentina","Johannesburg","South Africa","Consulate / Consulate-General","Consulate-General"
"Argentina","Barcelona","Spain","Consulate / Consulate-General","Consulate-General"
"Argentina","Cadiz","Spain","Consulate / Consulate-General","Consulate"
"Argentina","Madrid","Spain","Consulate / Consulate-General","Consulate-General"
"Argentina","Palma de Mallorca","Spain","Consulate / Consulate-General","Consulate"
"Argentina","Tenerife","Spain","Consulate / Consulate-General","Consulate"
"Argentina","Vigo","Spain","Consulate / Consulate-General","Consulate-General"
"Argentina","Istanbul","Turkey","Consulate / Consulate-General","Consulate-General"
"Argentina","London","United Kingdom","Consulate / Consulate-General","Consulate-General"
"Argentina","Atlanta","United States","Consulate / Consulate-General","Consulate-General"
"Argentina","Chicago","United States","Consulate / Consulate-General","Consulate-General"
"Argentina","Houston","United States","Consulate / Consulate-General","Consulate-General"
"Argentina","Los Angeles","United States","Consulate / Consulate-General","Consulate-General"
"Argentina","Miami","United States","Consulate / Consulate-General","Consulate-General"
"Argentina","New York","United States","Consulate / Consulate-General","Consulate-General"
"Argentina","Colonia del Sacramento","Uruguay","Consulate / Consulate-General","Consulate"
"Argentina","Fray Bentos","Uruguay","Consulate / Consulate-General","Consulate"
"Argentina","Maldonado","Uruguay","Consulate / Consulate-General","Consulate"
"Argentina","Montevideo","Uruguay","Consulate / Consulate-General","Consulate-General"
"Argentina","Paysandu","Uruguay","Consulate / Consulate-General","Consulate"
"Argentina","Salto","Uruguay","Consulate / Consulate-General","Consulate"
"Argentina","Brussels","Belgium","Permanent Mission","Mission to EU"
"Argentina","Paris","France","Permanent Mission","Mission to UNESCO"
"Argentina","Rome","Italy","Permanent Mission","Mission to FAO"
"Argentina","Geneva","Switzerland","Permanent Mission","Mission to UN"
"Argentina","New York","United States","Permanent Mission","Mission to UN"
"Argentina","Washington DC","United States","Permanent Mission","Mission to OAS"
"Argentina","Montevideo","Uruguay","Permanent Mission","Mission to MERCOSUR"
"Argentina","Ramallah","Palestine*","Other","Representative Office"
"Argentina","Taipei","Taiwan*","Other","Representative Office"
"Australia","Kabul","Afghanistan","Embassy / High Commission","Embassy"
"Australia","Buenos Aires","Argentina","Embassy / High Commission","Embassy"
"Australia","Vienna","Austria","Embassy / High Commission","Embassy & Mission to UN"
"Australia","Dhaka","Bangladesh","Embassy / High Commission","High Commission"
"Australia","Brussels","Belgium","Embassy / High Commission","Embassy & Mission to EU"
"Australia","Brasilia","Brazil","Embassy / High Commission","Embassy"
"Australia","Bandar Seri Begawan","Brunei Darussalam","Embassy / High Commission","High Commission"
"Australia","Phnom Penh","Cambodia","Embassy / High Commission","Embassy"
"Australia","Ottawa","Canada","Embassy / High Commission","High Commission"
"Australia","Santiago","Chile","Embassy / High Commission","Embassy"
"Australia","Beijing","China","Embassy / High Commission","Embassy"
"Australia","Bogota","Colombia","Embassy / High Commission","Embassy"
"Australia","Zagreb","Croatia","Embassy / High Commission","Embassy"
"Australia","Nicosia","Cyprus","Embassy / High Commission","High Commission"
"Australia","Copenhagen","Denmark","Embassy / High Commission","Embassy"
"Australia","Cairo","Egypt","Embassy / High Commission","Embassy"
"Australia","Addis Ababa","Ethiopia","Embassy / High Commission","Embassy"
"Australia","Suva","Fiji","Embassy / High Commission","High Commission"
"Australia","Paris","France","Embassy / High Commission","Embassy & Delegation to UNESCO"
"Australia","Berlin","Germany","Embassy / High Commission","Embassy"
"Australia","Accra","Ghana","Embassy / High Commission","High Commission"
"Australia","Athens","Greece","Embassy / High Commission","Embassy"
"Australia","New Delhi","India","Embassy / High Commission","High Commission"
"Australia","Jakarta","Indonesia","Embassy / High Commission","Embassy"
"Australia","Tehran","Iran Islamic Republic of","Embassy / High Commission","Embassy"
"Australia","Baghdad","Iraq","Embassy / High Commission","Embassy"
"Australia","Dublin","Ireland","Embassy / High Commission","Embassy"
"Australia","Tel Aviv","Israel","Embassy / High Commission","Embassy"
"Australia","Rome","Italy","Embassy / High Commission","Embassy & Mission to FAO"
"Australia","Tokyo","Japan","Embassy / High Commission","Embassy"
"Australia","Amman","Jordan","Embassy / High Commission","Embassy"
"Australia","Nairobi","Kenya","Embassy / High Commission","High Commission"
"Australia","Tarawa","Kiribati","Embassy / High Commission","High Commission"
"Australia","Seoul","Korea Republic of (South Korea)","Embassy / High Commission","Embassy"
"Australia","Kuwait City","Kuwait","Embassy / High Commission","Embassy"
"Australia","Vientiane","Lao People's Democratic Republic","Embassy / High Commission","Embassy"
"Australia","Beirut","Lebanon","Embassy / High Commission","Embassy"
"Australia","Kuala Lumpur","Malaysia","Embassy / High Commission","High Commission"
"Australia","Malta (Ta'xbiex)","Malta","Embassy / High Commission","High Commission"
"Australia","Port Louis","Mauritius","Embassy / High Commission","High Commission"
"Australia","Mexico City","Mexico","Embassy / High Commission","Embassy"
"Australia","Pohnpei","Micronesia Federated States of","Embassy / High Commission","Embassy"
"Australia","Ulaanbaatar","Mongolia","Embassy / High Commission","Embassy"
"Australia","Rabat","Morocco","Embassy / High Commission","Embassy"
"Australia","Yangon","Myanmar","Embassy / High Commission","Embassy"
"Australia","Nauru","Nauru","Embassy / High Commission","High Commission"
"Australia","Kathmandu","Nepal","Embassy / High Commission","Embassy"
"Australia","The Hague","Netherlands","Embassy / High Commission","Embassy"
"Australia","Wellington","New Zealand","Embassy / High Commission","High Commission"
"Australia","Abuja","Nigeria","Embassy / High Commission","High Commission"
"Australia","Islamabad","Pakistan","Embassy / High Commission","High Commission"
"Australia","Port Moresby","Papua New Guinea","Embassy / High Commission","High Commission"
"Australia","Lima","Peru","Embassy / High Commission","Embassy"
"Australia","Manila","Philippines","Embassy / High Commission","Embassy"
"Australia","Warsaw","Poland","Embassy / High Commission","Embassy"
"Australia","Lisbon","Portugal","Embassy / High Commission","Embassy"
"Australia","Doha","Qatar","Embassy / High Commission","Embassy"
"Australia","Moscow","Russian Federation","Embassy / High Commission","Embassy"
"Australia","Apia","Samoa","Embassy / High Commission","High Commission"
"Australia","Riyadh","Saudi Arabia","Embassy / High Commission","Embassy"
"Australia","Belgrade","Serbia","Embassy / High Commission","Embassy"
"Australia","Singapore","Singapore","Embassy / High Commission","High Commission"
"Australia","Honiara","Solomon Islands","Embassy / High Commission","High Commission"
"Australia","Pretoria","South Africa","Embassy / High Commission","High Commission"
"Australia","Madrid","Spain","Embassy / High Commission","Embassy"
"Australia","Colombo","Sri Lanka","Embassy / High Commission","High Commission"
"Australia","Stockholm","Sweden","Embassy / High Commission","Embassy"
"Australia","Bangkok","Thailand","Embassy / High Commission","Embassy & Mission to UN/ESCAP"
"Australia","Dili","Timor-Leste","Embassy / High Commission","Embassy"
"Australia","Nuku'Alofa","Tonga","Embassy / High Commission","High Commission"
"Australia","Port of Spain","Trinidad and Tobago","Embassy / High Commission","High Commission"
"Australia","Ankara","Turkey","Embassy / High Commission","Embassy"
"Australia","Funafuti","Tuvalu","Embassy / High Commission","High Commission"
"Australia","Kiev","Ukraine","Embassy / High Commission","Embassy"
"Australia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy"
"Australia","London","United Kingdom","Embassy / High Commission","High Commission"
"Australia","Washington DC","United States","Embassy / High Commission","Embassy"
"Australia","Port Vila","Vanuatu","Embassy / High Commission","High Commission"
"Australia","Holy See","Vatican City State","Embassy / High Commission","Embassy"
"Australia","Hanoi","Vietnam","Embassy / High Commission","Embassy"
"Australia","Harare","Zimbabwe","Embassy / High Commission","Embassy"
"Australia","Sao Paolo","Brazil","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Toronto","Canada","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Chengdu","China","Consulate / Consulate-General","Consulate-General"
"Australia","Guangzhou","China","Consulate / Consulate-General","Consulate-General"
"Australia","Hong Kong","China","Consulate / Consulate-General","Consulate-General"
"Australia","Shanghai","China","Consulate / Consulate-General","Consulate-General"
"Australia","Frankfurt","Germany","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Chennai","India","Consulate / Consulate-General","Consulate-General"
"Australia","Mumbai","India","Consulate / Consulate-General","Consulate-General"
"Australia","Denpasar","Indonesia","Consulate / Consulate-General","Consulate-General"
"Australia","Makassar","Indonesia","Consulate / Consulate-General","Consulate-General"
"Australia","Surabaya","Indonesia","Consulate / Consulate-General","Consulate-General"
"Australia","Milan","Italy","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Fukuoka","Japan","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Osaka","Japan","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Sapporo","Japan","Consulate / Consulate-General","Consulate (Austrade)"
"Australia","Noumea","New Caledonia (French territory)","Consulate / Consulate-General","Consulate-General"
"Australia","Auckland","New Zealand","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Lae","Papua New Guinea","Consulate / Consulate-General","Consulate-General"
"Australia","Geneva","Switzerland","Consulate / Consulate-General","Consulate-General & Mission to WTO"
"Australia","Phuket","Thailand","Consulate / Consulate-General","Consulate-General"
"Australia","Canakkale","Turkey","Consulate / Consulate-General","Consulate"
"Australia","Istanbul","Turkey","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Dubai","United Arab Emirates","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Chicago","United States","Consulate / Consulate-General","Consulate-General"
"Australia","Honolulu","United States","Consulate / Consulate-General","Consulate-General"
"Australia","Houston","United States","Consulate / Consulate-General","Consulate (Austrade)"
"Australia","Los Angeles","United States","Consulate / Consulate-General","Consulate-General"
"Australia","New York","United States","Consulate / Consulate-General","Consulate-General"
"Australia","San Francisco","United States","Consulate / Consulate-General","Consulate-General (Austrade)"
"Australia","Ho Chi Minh City","Vietnam","Consulate / Consulate-General","Consulate-General"
"Australia","Paris","France","Permanent Mission","Delegation to OECD"
"Australia","Jakarta","Indonesia","Permanent Mission","Mission to ASEAN"
"Australia","Geneva","Switzerland","Permanent Mission","Mission to UN"
"Australia","New York","United States","Permanent Mission","Mission to UN"
"Australia","Ramallah","Palestine*","Other","Representative Office"
"Australia","Taipei","Taiwan*","Other","Australian Office"
"Austria","Tirana","Albania","Embassy / High Commission","Embassy"
"Austria","Algiers","Algeria","Embassy / High Commission","Embassy"
"Austria","Buenos Aires","Argentina","Embassy / High Commission","Embassy"
"Austria","Canberra","Australia","Embassy / High Commission","Embassy"
"Austria","Baku","Azerbaijan","Embassy / High Commission","Embassy"
"Austria","Minsk","Belarus","Embassy / High Commission","Embassy"
"Austria","Brussels","Belgium","Embassy / High Commission","Embassy & Mission to NATO"
"Austria","Sarajevo","Bosnia and Herzegovina","Embassy / High Commission","Embassy"
"Austria","Brasilia","Brazil","Embassy / High Commission","Embassy"
"Austria","Sofia","Bulgaria","Embassy / High Commission","Embassy"
"Austria","Ottawa","Canada","Embassy / High Commission","Embassy"
"Austria","Santiago","Chile","Embassy / High Commission","Embassy"
"Austria","Beijing","China","Embassy / High Commission","Embassy"
"Austria","Bogota","Colombia","Embassy / High Commission","Embassy"
"Austria","Zagreb","Croatia","Embassy / High Commission","Embassy"
"Austria","Havana","Cuba","Embassy / High Commission","Embassy"
"Austria","Nicosia","Cyprus","Embassy / High Commission","Embassy"
"Austria","Prague","Czech Republic","Embassy / High Commission","Embassy"
"Austria","Copenhagen","Denmark","Embassy / High Commission","Embassy"
"Austria","Cairo","Egypt","Embassy / High Commission","Embassy"
"Austria","Talinn","Estonia","Embassy / High Commission","Embassy"
"Austria","Addis Ababa","Ethiopia","Embassy / High Commission","Embassy"
"Austria","Helsinki","Finland","Embassy / High Commission","Embassy"
"Austria","Paris","France","Embassy / High Commission","Embassy"
"Austria","Tbilisi","Georgia","Embassy / High Commission","Embassy"
"Austria","Berlin","Germany","Embassy / High Commission","Embassy"
"Austria","Athens","Greece","Embassy / High Commission","Embassy"
"Austria","Budapest","Hungary","Embassy / High Commission","Embassy"
"Austria","New Delhi","India","Embassy / High Commission","Embassy"
"Austria","Jakarta","Indonesia","Embassy / High Commission","Embassy"
"Austria","Tehran","Iran Islamic Republic of","Embassy / High Commission","Embassy"
"Austria","Dublin","Ireland","Embassy / High Commission","Embassy"
"Austria","Tel Aviv","Israel","Embassy / High Commission","Embassy"
"Austria","Rome","Italy","Embassy / High Commission","Embassy"
"Austria","Tokyo","Japan","Embassy / High Commission","Embassy"
"Austria","Amman","Jordan","Embassy / High Commission","Embassy"
"Austria","Nur-Sultan","Kazakhstan","Embassy / High Commission","Embassy"
"Austria","Nairobi","Kenya","Embassy / High Commission","Embassy"
"Austria","Seoul","Korea Republic of (South Korea)","Embassy / High Commission","Embassy"
"Austria","Pristina","Kosovo*","Embassy / High Commission","Embassy"
"Austria","Kuwait City","Kuwait","Embassy / High Commission","Embassy"
"Austria","Beirut","Lebanon","Embassy / High Commission","Embassy"
"Austria","Tripoli","Libya","Embassy / High Commission","Embassy"
"Austria","Luxembourg","Luxembourg","Embassy / High Commission","Embassy"
"Austria","Kuala Lumpur","Malaysia","Embassy / High Commission","Embassy"
"Austria","Mexico City","Mexico","Embassy / High Commission","Embassy"
"Austria","Chisinau","Moldova Republic of","Embassy / High Commission","Embassy"
"Austria","Podgorica","Montenegro","Embassy / High Commission","Embassy"
"Austria","Rabat","Morocco","Embassy / High Commission","Embassy"
"Austria","The Hague","Netherlands","Embassy / High Commission","Embassy"
"Austria","Abuja","Nigeria","Embassy / High Commission","Embassy"
"Austria","Skopje","Macedonia the former Yugoslav Republic of","Embassy / High Commission","Embassy"
"Austria","Oslo","Norway","Embassy / High Commission","Embassy"
"Austria","Islamabad","Pakistan","Embassy / High Commission","Embassy"
"Austria","Lima","Peru","Embassy / High Commission","Embassy"
"Austria","Manila","Philippines","Embassy / High Commission","Embassy"
"Austria","Warsaw","Poland","Embassy / High Commission","Embassy"
"Austria","Lisbon","Portugal","Embassy / High Commission","Embassy"
"Austria","Doha","Qatar","Embassy / High Commission","Embassy"
"Austria","Bucharest","Romania","Embassy / High Commission","Embassy"
"Austria","Moscow","Russian Federation","Embassy / High Commission","Embassy"
"Austria","Riyadh","Saudi Arabia","Embassy / High Commission","Embassy"
"Austria","Dakar","Senegal","Embassy / High Commission","Embassy"
"Austria","Belgrade","Serbia","Embassy / High Commission","Embassy"
"Austria","Singapore","Singapore","Embassy / High Commission","Embassy"
"Austria","Bratislava","Slovak Republic","Embassy / High Commission","Embassy"
"Austria","Ljubljana","Slovenia","Embassy / High Commission","Embassy"
"Austria","Pretoria","South Africa","Embassy / High Commission","Embassy"
"Austria","Madrid","Spain","Embassy / High Commission","Embassy"
"Austria","Stockholm","Sweden","Embassy / High Commission","Embassy"
"Austria","Bern","Switzerland","Embassy / High Commission","Embassy"
"Austria","Bangkok","Thailand","Embassy / High Commission","Embassy"
"Austria","Tunis","Tunisia","Embassy / High Commission","Embassy"
"Austria","Ankara","Turkey","Embassy / High Commission","Embassy"
"Austria","Kiev","Ukraine","Embassy / High Commission","Embassy"
"Austria","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy"
"Austria","London","United Kingdom","Embassy / High Commission","Embassy"
"Austria","Washington DC","United States","Embassy / High Commission","Embassy"
"Austria","Holy See","Vatican City State","Embassy / High Commission","Embassy"
"Austria","Hanoi","Vietnam","Embassy / High Commission","Embassy"
"Austria","Chengdu","China","Consulate / Consulate-General","Consulate-General"
"Austria","Hong Kong","China","Consulate / Consulate-General","Consulate-General"
"Austria","Shanghai","China","Consulate / Consulate-General","Consulate-General"
"Austria","Strasbourg","France","Consulate / Consulate-General","Consulate-General"
"Austria","Munich","Germany","Consulate / Consulate-General","Consulate-General"
"Austria","Milan","Italy","Consulate / Consulate-General","Consulate-General"
"Austria","Istanbul","Turkey","Consulate / Consulate-General","Consulate-General"
"Austria","Los Angeles","United States","Consulate / Consulate-General","Consulate-General"
"Austria","New York","United States","Consulate / Consulate-General","Consulate-General"
"Austria","Vienna","Austria","Permanent Mission","Mission to UN/Int'l Orgs"
"Austria","Brussels","Belgium","Permanent Mission","Mission to EU"
"Austria","Paris","France","Permanent Mission","Mission to OECD"
"Austria","Paris","France","Permanent Mission","Mission to UNESCO"
"Austria","Strasbourg","France","Permanent Mission","Mission to CoE"
"Austria","Geneva","Switzerland","Permanent Mission","Mission to UN"
"Austria","New York","United States","Permanent Mission","Mission to UN"
"Austria","Ramallah","Palestine*","Other","Representative Office"
"Austria","Taipei","Taiwan*","Other","Austria Bureau"
"Bangladesh","Algiers","Algeria","Embassy / High Commission","Embassy"
"Bangladesh","Canberra","Australia","Embassy / High Commission","High Commission"
"Bangladesh","Vienna","Austria","Embassy / High Commission","Embassy"
"Bangladesh","Manama","Bahrain","Embassy / High Commission","Embassy"
"Bangladesh","Brussels","Belgium","Embassy / High Commission","Embassy"
"Bangladesh","Thimphu","Bhutan","Embassy / High Commission","Embassy"
"Bangladesh","Brasilia","Brazil","Embassy / High Commission","Embassy"
"Bangladesh","Bandar Seri Begawan","Brunei Darussalam","Embassy / High Commission","High Commission"
"Bangladesh","Ottawa","Canada","Embassy / High Commission","High Commission"
"Bangladesh","Beijing","China","Embassy / High Commission","Embassy"
"Bangladesh","Copenhagen","Denmark","Embassy / High Commission","Embassy"
"Bangladesh","Cairo","Egypt","Embassy / High Commission","Embassy"
"Bangladesh","Addis Ababa","Ethiopia","Embassy / High Commission","Embassy"
"Bangladesh","Paris","France","Embassy / High Commission","Embassy"
"Bangladesh","Berlin","Germany","Embassy / High Commission","Embassy"
"Bangladesh","Athens","Greece","Embassy / High Commission","Embassy"
"Bangladesh","New Delhi","India","Embassy / High Commission","High Commission"
"Bangladesh","Jakarta","Indonesia","Embassy / High Commission","Embassy"
"Bangladesh","Tehran","Iran Islamic Republic of","Embassy / High Commission","Embassy"
"Bangladesh","Baghdad","Iraq","Embassy / High Commission","Embassy"
"Bangladesh","Rome","Italy","Embassy / High Commission","Embassy"
"Bangladesh","Tokyo","Japan","Embassy / High Commission","Embassy"
"Bangladesh","Amman","Jordan","Embassy / High Commission","Embassy"
"Bangladesh","Nairobi","Kenya","Embassy / High Commission","High Commission"
"Bangladesh","Seoul","Korea Republic of (South Korea)","Embassy / High Commission","Embassy"
"Bangladesh","Kuwait City","Kuwait","Embassy / High Commission","Embassy"
"Bangladesh","Beirut","Lebanon","Embassy / High Commission","Embassy"
"Bangladesh","Tripoli","Libya","Embassy / High Commission","Embassy"
"Bangladesh","Kuala Lumpur","Malaysia","Embassy / High Commission","High Commission"
"Bangladesh","Male","Maldives","Embassy / High Commission","High Commission"
"Bangladesh","Port Louis","Mauritius","Embassy / High Commission","High Commission"
"Bangladesh","Mexico City","Mexico","Embassy / High Commission","Embassy"
"Bangladesh","Rabat","Morocco","Embassy / High Commission","Embassy"
"Bangladesh","Yangon","Myanmar","Embassy / High Commission","Embassy"
"Bangladesh","Kathmandu","Nepal","Embassy / High Commission","Embassy"
"Bangladesh","The Hague","Netherlands","Embassy / High Commission","Embassy"
"Bangladesh","Abuja","Nigeria","Embassy / High Commission","High Commission"
